original_character_resp.keys,original_character_resp.rt,trials_character_original.thisRepN,trials_character_original.thisTrialN,trials_character_original.thisN,trials_character_original.thisIndex,trials_character_original.ran,original_character_options,correct_character_options,id,date,expName,psychopyVersion,OS,frameRate,edited_character_resp.keys,edited_character_resp.corr,trials_character_edited.thisRepN,trials_character_edited.thisTrialN,trials_character_edited.thisN,trials_character_edited.thisIndex,trials_character_edited.ran,edited_character_options,seed_response.keys,seed_response.corr,seed_response.rt,trials_seeds.thisRepN,trials_seeds.thisTrialN,trials_seeds.thisN,trials_seeds.thisIndex,trials_seeds.ran,seed_options,correctSeednumber,tree_response.keys,tree_response.corr,tree_response.rt,trials_tree.thisRepN,trials_tree.thisTrialN,trials_tree.thisN,trials_tree.thisIndex,trials_tree.ran,tree_options,correctTreenumber,token_original_resp.keys,token_original_resp.corr,token_original_resp.rt,trials_tokens_original.thisRepN,trials_tokens_original.thisTrialN,trials_tokens_original.thisN,trials_tokens_original.thisIndex,trials_tokens_original.ran,original_token_options,correct_token_options,token_edited_resp.keys,token_edited_resp.corr,trials_tokens_edited.thisRepN,trials_tokens_edited.thisTrialN,trials_tokens_edited.thisN,trials_tokens_edited.thisIndex,trials_tokens_edited.ran,edited_token_options,gaze_response.keys,gaze_response.corr,gaze_response.rt,key_resp_6.keys,trials_gaze.thisRepN,trials_gaze.thisTrialN,trials_gaze.thisN,trials_gaze.thisIndex,trials_gaze.ran,options,correctGazeanswer,landscapeA_resp.keys,landscapeA_resp.corr,landscapeA_resp.rt,trials_sight_color.thisRepN,trials_sight_color.thisTrialN,trials_sight_color.thisN,trials_sight_color.thisIndex,trials_sight_color.ran,landscape_options,correct_landscape_options,landscapeB_resp.keys,landscapeB_resp.corr,trials_sight_black.thisRepN,trials_sight_black.thisTrialN,trials_sight_black.thisN,trials_sight_black.thisIndex,trials_sight_black.ran
a,30.9729,0,0,0,2,1,original_poet.png,c,yay,2024-03-27_22h33.32.641,board game,2021.1.2,Win32,142.8571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,3.4543,0,1,1,0,1,original_monk.png,a,yay,2024-03-27_22h33.32.641,board game,2021.1.2,Win32,142.8571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d,3.6106,0,2,2,3,1,original_architect.png,d,yay,2024-03-27_22h33.32.641,board game,2021.1.2,Win32,142.8571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b,2.7988,0,3,3,1,1,original_hermit.png,b,yay,2024-03-27_22h33.32.641,board game,2021.1.2,Win32,142.8571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,b,yay,2024-03-27_22h33.32.641,board game,2021.1.2,Win32,142.8571429,,0,0,0,0,1,1,edited_hermit.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,d,yay,2024-03-27_22h33.32.641,board game,2021.1.2,Win32,142.8571429,,0,0,1,1,3,1,edited_architect.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,a,yay,2024-03-27_22h33.32.641,board game,2021.1.2,Win32,142.8571429,,0,0,2,2,0,1,edited_monk.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,c,yay,2024-03-27_22h33.32.641,board game,2021.1.2,Win32,142.8571429,,0,0,3,3,2,1,edited_poet.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,yay,2024-03-27_22h33.32.641,board game,2021.1.2,Win32,142.8571429,,,,,,,,,0,1,19.4336,0,0,0,9,1,gul_0_original.png,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,yay,2024-03-27_22h33.32.641,board game,2021.1.2,Win32,142.8571429,,,,,,,,,1,1,3.0979,0,1,1,3,1,orange_1_original.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,yay,2024-03-27_22h33.32.641,board game,2021.1.2,Win32,142.8571429,,,,,,,,,3,1,1.657,0,2,2,14,1,gul_3_grey.png,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,yay,2024-03-27_22h33.32.641,board game,2021.1.2,Win32,142.8571429,,,,,,,,,2,1,3.3748,0,3,3,13,1,gul_2_original.png,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,yay,2024-03-27_22h33.32.641,board game,2021.1.2,Win32,142.8571429,,,,,,,,,0,1,2.1908,0,4,4,8,1,gul_0_grey.png,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,yay,2024-03-27_22h33.32.641,board game,2021.1.2,Win32,142.8571429,,,,,,,,,1,1,3.5302,0,5,5,11,1,gul_1_original.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,yay,2024-03-27_22h33.32.641,board game,2021.1.2,Win32,142.8571429,,,,,,,,,0,1,1.8798,0,6,6,0,1,orange_0_grey.png,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,yay,2024-03-27_22h33.32.641,board game,2021.1.2,Win32,142.8571429,,,,,,,,,4,0,2.7335,0,7,7,15,1,gul_3_original.png,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,yay,2024-03-27_22h33.32.641,board game,2021.1.2,Win32,142.8571429,,,,,,,,,4,0,1.2332,0,8,8,6,1,orange_3_grey.png,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,yay,2024-03-27_22h33.32.641,board game,2021.1.2,Win32,142.8571429,,,,,,,,,3,0,0.822,0,9,9,12,1,gul_2_grey.png,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,yay,2024-03-27_22h33.32.641,board game,2021.1.2,Win32,142.8571429,,,,,,,,,3,0,2.2382,0,10,10,5,1,orange_2_original.png,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,yay,2024-03-27_22h33.32.641,board game,2021.1.2,Win32,142.8571429,,,,,,,,,3,0,0.963,0,11,11,4,1,orange_2_grey.png,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,yay,2024-03-27_22h33.32.641,board game,2021.1.2,Win32,142.8571429,,,,,,,,,2,0,1.0985,0,12,12,2,1,orange_1_grey.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,yay,2024-03-27_22h33.32.641,board game,2021.1.2,Win32,142.8571429,,,,,,,,,2,0,0.8838,0,13,13,10,1,gul_1_grey.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,yay,2024-03-27_22h33.32.641,board game,2021.1.2,Win32,142.8571429,,,,,,,,,4,0,1.48,0,14,14,7,1,orange_3_original.png,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,yay,2024-03-27_22h33.32.641,board game,2021.1.2,Win32,142.8571429,,,,,,,,,0,1,2.2185,0,15,15,1,1,orange_0_original.png,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,yay,2024-03-27_22h33.32.641,board game,2021.1.2,Win32,142.8571429,,,,,,,,,,,,,,,,,,,4,1,6.3116,0,0,0,1,1,original_gulpink2.png,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,yay,2024-03-27_22h33.32.641,board game,2021.1.2,Win32,142.8571429,,,,,,,,,,,,,,,,,,,4,1,4.7347,0,1,1,7,1,edited_blue2.png,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,yay,2024-03-27_22h33.32.641,board game,2021.1.2,Win32,142.8571429,,,,,,,,,,,,,,,,,,,4,1,3.732,0,2,2,5,1,original_blue2.png,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,yay,2024-03-27_22h33.32.641,board game,2021.1.2,Win32,142.8571429,,,,,,,,,,,,,,,,,,,2,1,4.0202,0,3,3,4,1,original_blue1.png,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,yay,2024-03-27_22h33.32.641,board game,2021.1.2,Win32,142.8571429,,,,,,,,,,,,,,,,,,,3,1,4.1628,0,4,4,8,1,original_green1.png,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,yay,2024-03-27_22h33.32.641,board game,2021.1.2,Win32,142.8571429,,,,,,,,,,,,,,,,,,,3,1,6.2911,0,5,5,10,1,edited_green1.png,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,yay,2024-03-27_22h33.32.641,board game,2021.1.2,Win32,142.8571429,,,,,,,,,,,,,,,,,,,2,1,3.2055,0,6,6,11,1,edited_green2.png,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,yay,2024-03-27_22h33.32.641,board game,2021.1.2,Win32,142.8571429,,,,,,,,,,,,,,,,,,,4,1,4.5539,0,7,7,3,1,edited_gulpink2.png,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,yay,2024-03-27_22h33.32.641,board game,2021.1.2,Win32,142.8571429,,,,,,,,,,,,,,,,,,,3,1,4.9766,0,8,8,14,1,edited_orange1.png,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,yay,2024-03-27_22h33.32.641,board game,2021.1.2,Win32,142.8571429,,,,,,,,,,,,,,,,,,,3,1,2.3184,0,9,9,12,1,original_orange1.png,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,yay,2024-03-27_22h33.32.641,board game,2021.1.2,Win32,142.8571429,,,,,,,,,,,,,,,,,,,2,0,3.478,0,10,10,15,1,edited_orange2.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,yay,2024-03-27_22h33.32.641,board game,2021.1.2,Win32,142.8571429,,,,,,,,,,,,,,,,,,,3,1,4.5183,0,11,11,0,1,original_gulpink1.png,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,yay,2024-03-27_22h33.32.641,board game,2021.1.2,Win32,142.8571429,,,,,,,,,,,,,,,,,,,2,1,1.9582,0,12,12,6,1,edited_blue1.png,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,yay,2024-03-27_22h33.32.641,board game,2021.1.2,Win32,142.8571429,,,,,,,,,,,,,,,,,,,2,1,2.8169,0,13,13,9,1,original_green2.png,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,yay,2024-03-27_22h33.32.641,board game,2021.1.2,Win32,142.8571429,,,,,,,,,,,,,,,,,,,1,1,3.0333,0,14,14,13,1,original_orange2.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,yay,2024-03-27_22h33.32.641,board game,2021.1.2,Win32,142.8571429,,,,,,,,,,,,,,,,,,,3,1,2.9024,0,15,15,2,1,edited_gulpink1.png,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
