original_character_resp.keys,original_character_resp.rt,trials_character_original.thisRepN,trials_character_original.thisTrialN,trials_character_original.thisN,trials_character_original.thisIndex,trials_character_original.ran,original_character_options,correct_character_options,id,date,expName,psychopyVersion,OS,frameRate,edited_character_resp.keys,edited_character_resp.corr,trials_character_edited.thisRepN,trials_character_edited.thisTrialN,trials_character_edited.thisN,trials_character_edited.thisIndex,trials_character_edited.ran,edited_character_options,seed_response.keys,seed_response.corr,seed_response.rt,trials_seeds.thisRepN,trials_seeds.thisTrialN,trials_seeds.thisN,trials_seeds.thisIndex,trials_seeds.ran,seed_options,correctSeednumber,tree_response.keys,tree_response.corr,tree_response.rt,trials_tree.thisRepN,trials_tree.thisTrialN,trials_tree.thisN,trials_tree.thisIndex,trials_tree.ran,tree_options,correctTreenumber,token_original_resp.keys,token_original_resp.corr,token_original_resp.rt,trials_tokens_original.thisRepN,trials_tokens_original.thisTrialN,trials_tokens_original.thisN,trials_tokens_original.thisIndex,trials_tokens_original.ran,original_token_options,correct_token_options,token_edited_resp.keys,token_edited_resp.corr,trials_tokens_edited.thisRepN,trials_tokens_edited.thisTrialN,trials_tokens_edited.thisN,trials_tokens_edited.thisIndex,trials_tokens_edited.ran,edited_token_options,gaze_response.keys,gaze_response.corr,gaze_response.rt,key_resp_6.keys,trials_gaze.thisRepN,trials_gaze.thisTrialN,trials_gaze.thisN,trials_gaze.thisIndex,trials_gaze.ran,options,correctGazeanswer,landscapeA_resp.keys,landscapeA_resp.corr,landscapeA_resp.rt,trials_sight_color.thisRepN,trials_sight_color.thisTrialN,trials_sight_color.thisN,trials_sight_color.thisIndex,trials_sight_color.ran,landscape_options,correct_landscape_options,landscapeB_resp.keys,landscapeB_resp.corr,trials_sight_black.thisRepN,trials_sight_black.thisTrialN,trials_sight_black.thisN,trials_sight_black.thisIndex,trials_sight_black.ran
d,13.925,0,0,0,1,1,original_hermit.png,b,Ben24jada,2024-03-15_09h39.31.538,board game,2021.1.2,Win32,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,7.8902,0,1,1,0,1,original_monk.png,a,Ben24jada,2024-03-15_09h39.31.538,board game,2021.1.2,Win32,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b,8.8203,0,2,2,2,1,original_poet.png,c,Ben24jada,2024-03-15_09h39.31.538,board game,2021.1.2,Win32,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d,4.9246,0,3,3,3,1,original_architect.png,d,Ben24jada,2024-03-15_09h39.31.538,board game,2021.1.2,Win32,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,d,Ben24jada,2024-03-15_09h39.31.538,board game,2021.1.2,Win32,58.82352941,,0,0,0,0,3,1,edited_architect.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,c,Ben24jada,2024-03-15_09h39.31.538,board game,2021.1.2,Win32,58.82352941,,0,0,1,1,2,1,edited_poet.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,b,Ben24jada,2024-03-15_09h39.31.538,board game,2021.1.2,Win32,58.82352941,,0,0,2,2,1,1,edited_hermit.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,a,Ben24jada,2024-03-15_09h39.31.538,board game,2021.1.2,Win32,58.82352941,,0,0,3,3,0,1,edited_monk.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Ben24jada,2024-03-15_09h39.31.538,board game,2021.1.2,Win32,58.82352941,,,,,,,,,2,0,43.7632,0,0,0,0,1,orange_0_grey.png,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Ben24jada,2024-03-15_09h39.31.538,board game,2021.1.2,Win32,58.82352941,,,,,,,,,4,0,15.8054,0,1,1,1,1,orange_0_original.png,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Ben24jada,2024-03-15_09h39.31.538,board game,2021.1.2,Win32,58.82352941,,,,,,,,,1,1,4.842,0,2,2,2,1,orange_1_grey.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Ben24jada,2024-03-15_09h39.31.538,board game,2021.1.2,Win32,58.82352941,,,,,,,,,2,1,2.4326,0,3,3,4,1,orange_2_grey.png,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Ben24jada,2024-03-15_09h39.31.538,board game,2021.1.2,Win32,58.82352941,,,,,,,,,0,1,31.4589,0,4,4,9,1,gul_0_original.png,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Ben24jada,2024-03-15_09h39.31.538,board game,2021.1.2,Win32,58.82352941,,,,,,,,,1,1,4.1091,0,5,5,3,1,orange_1_original.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Ben24jada,2024-03-15_09h39.31.538,board game,2021.1.2,Win32,58.82352941,,,,,,,,,0,0,7.1136,0,6,6,15,1,gul_3_original.png,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Ben24jada,2024-03-15_09h39.31.538,board game,2021.1.2,Win32,58.82352941,,,,,,,,,1,1,4.8292,0,7,7,11,1,gul_1_original.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Ben24jada,2024-03-15_09h39.31.538,board game,2021.1.2,Win32,58.82352941,,,,,,,,,2,1,1.8119,0,8,8,13,1,gul_2_original.png,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Ben24jada,2024-03-15_09h39.31.538,board game,2021.1.2,Win32,58.82352941,,,,,,,,,2,1,2.6384,0,9,9,12,1,gul_2_grey.png,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Ben24jada,2024-03-15_09h39.31.538,board game,2021.1.2,Win32,58.82352941,,,,,,,,,3,1,5.0365,0,10,10,14,1,gul_3_grey.png,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Ben24jada,2024-03-15_09h39.31.538,board game,2021.1.2,Win32,58.82352941,,,,,,,,,3,1,6.3153,0,11,11,7,1,orange_3_original.png,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Ben24jada,2024-03-15_09h39.31.538,board game,2021.1.2,Win32,58.82352941,,,,,,,,,0,1,4.9438,0,12,12,8,1,gul_0_grey.png,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Ben24jada,2024-03-15_09h39.31.538,board game,2021.1.2,Win32,58.82352941,,,,,,,,,2,1,3.4832,0,13,13,5,1,orange_2_original.png,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Ben24jada,2024-03-15_09h39.31.538,board game,2021.1.2,Win32,58.82352941,,,,,,,,,1,1,1.8621,0,14,14,10,1,gul_1_grey.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Ben24jada,2024-03-15_09h39.31.538,board game,2021.1.2,Win32,58.82352941,,,,,,,,,3,1,2.6249,0,15,15,6,1,orange_3_grey.png,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Ben24jada,2024-03-15_09h39.31.538,board game,2021.1.2,Win32,58.82352941,,,,,,,,,,,,,,,,,,,2,1,14.1332,0,0,0,4,1,original_blue1.png,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
