original_character_resp.keys,trials_character_original.thisRepN,trials_character_original.thisTrialN,trials_character_original.thisN,trials_character_original.thisIndex,trials_character_original.ran,original_character_options,correct_character_options,id,date,expName,psychopyVersion,OS,frameRate,edited_character_resp.keys,edited_character_resp.corr,edited_character_resp.rt,trials_character_edited.thisRepN,trials_character_edited.thisTrialN,trials_character_edited.thisN,trials_character_edited.thisIndex,trials_character_edited.ran,edited_character_options,seed_response.keys,seed_response.corr,seed_response.rt,trials_seeds.thisRepN,trials_seeds.thisTrialN,trials_seeds.thisN,trials_seeds.thisIndex,trials_seeds.ran,seed_options,correctSeednumber,tree_response.keys,tree_response.corr,tree_response.rt,trials_tree.thisRepN,trials_tree.thisTrialN,trials_tree.thisN,trials_tree.thisIndex,trials_tree.ran,tree_options,correctTreenumber,token_original_resp.keys,token_original_resp.corr,trials_tokens_original.thisRepN,trials_tokens_original.thisTrialN,trials_tokens_original.thisN,trials_tokens_original.thisIndex,trials_tokens_original.ran,original_token_options,correct_token_options,token_edited_resp.keys,token_edited_resp.corr,token_edited_resp.rt,trials_tokens_edited.thisRepN,trials_tokens_edited.thisTrialN,trials_tokens_edited.thisN,trials_tokens_edited.thisIndex,trials_tokens_edited.ran,edited_token_options,gaze_response.keys,gaze_response.corr,gaze_response.rt,key_resp_6.keys,trials_gaze.thisRepN,trials_gaze.thisTrialN,trials_gaze.thisN,trials_gaze.thisIndex,trials_gaze.ran,options,correctGazeanswer,landscapeA_resp.keys,landscapeA_resp.corr,trials_sight_color.thisRepN,trials_sight_color.thisTrialN,trials_sight_color.thisN,trials_sight_color.thisIndex,trials_sight_color.ran,landscape_options,correct_landscape_options,landscapeB_resp.keys,landscapeB_resp.corr,landscapeB_resp.rt,trials_sight_black.thisRepN,trials_sight_black.thisTrialN,trials_sight_black.thisN,trials_sight_black.thisIndex,trials_sight_black.ran
,0,0,0,1,1,original_hermit.png,b,abcabc,2024-03-14_10h21.39.324,board game,2021.1.2,Linux x86_64,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,1,2,1,original_poet.png,c,abcabc,2024-03-14_10h21.39.324,board game,2021.1.2,Linux x86_64,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,2,2,0,1,original_monk.png,a,abcabc,2024-03-14_10h21.39.324,board game,2021.1.2,Linux x86_64,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,3,3,3,1,original_architect.png,d,abcabc,2024-03-14_10h21.39.324,board game,2021.1.2,Linux x86_64,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,a,abcabc,2024-03-14_10h21.39.324,board game,2021.1.2,Linux x86_64,62.5,a,1,6.16,0,0,0,0,1,edited_monk.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,c,abcabc,2024-03-14_10h21.39.324,board game,2021.1.2,Linux x86_64,62.5,c,1,2.061,0,1,1,2,1,edited_poet.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,b,abcabc,2024-03-14_10h21.39.324,board game,2021.1.2,Linux x86_64,62.5,a,0,3.984,0,2,2,1,1,edited_hermit.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,d,abcabc,2024-03-14_10h21.39.324,board game,2021.1.2,Linux x86_64,62.5,d,1,1.669,0,3,3,3,1,edited_architect.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,abcabc,2024-03-14_10h21.39.324,board game,2021.1.2,Linux x86_64,62.5,,,,,,,,,,1,1,3.938,0,0,0,10,1,gul_1_grey.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,abcabc,2024-03-14_10h21.39.324,board game,2021.1.2,Linux x86_64,62.5,,,,,,,,,,3,1,1.279,0,1,1,15,1,gul_3_original.png,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,abcabc,2024-03-14_10h21.39.324,board game,2021.1.2,Linux x86_64,62.5,,,,,,,,,,3,1,1.145,0,2,2,7,1,orange_3_original.png,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,abcabc,2024-03-14_10h21.39.324,board game,2021.1.2,Linux x86_64,62.5,,,,,,,,,,0,1,2.922,0,3,3,9,1,gul_0_original.png,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,abcabc,2024-03-14_10h21.39.324,board game,2021.1.2,Linux x86_64,62.5,,,,,,,,,,2,1,1.184,0,4,4,13,1,gul_2_original.png,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,abcabc,2024-03-14_10h21.39.324,board game,2021.1.2,Linux x86_64,62.5,,,,,,,,,,1,1,1.934,0,5,5,2,1,orange_1_grey.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,abcabc,2024-03-14_10h21.39.324,board game,2021.1.2,Linux x86_64,62.5,,,,,,,,,,0,1,2.337,0,6,6,1,1,orange_0_original.png,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,abcabc,2024-03-14_10h21.39.324,board game,2021.1.2,Linux x86_64,62.5,,,,,,,,,,2,1,1.256,0,7,7,12,1,gul_2_grey.png,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,abcabc,2024-03-14_10h21.39.324,board game,2021.1.2,Linux x86_64,62.5,,,,,,,,,,1,1,1.09,0,8,8,3,1,orange_1_original.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,abcabc,2024-03-14_10h21.39.324,board game,2021.1.2,Linux x86_64,62.5,,,,,,,,,,0,1,1.066,0,9,9,8,1,gul_0_grey.png,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,abcabc,2024-03-14_10h21.39.324,board game,2021.1.2,Linux x86_64,62.5,,,,,,,,,,2,1,0.731,0,10,10,4,1,orange_2_grey.png,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,abcabc,2024-03-14_10h21.39.324,board game,2021.1.2,Linux x86_64,62.5,,,,,,,,,,3,1,0.679,0,11,11,6,1,orange_3_grey.png,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,abcabc,2024-03-14_10h21.39.324,board game,2021.1.2,Linux x86_64,62.5,,,,,,,,,,3,1,0.888,0,12,12,14,1,gul_3_grey.png,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,abcabc,2024-03-14_10h21.39.324,board game,2021.1.2,Linux x86_64,62.5,,,,,,,,,,1,1,1.164,0,13,13,11,1,gul_1_original.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
