original_character_resp.keys,trials_character_original.thisRepN,trials_character_original.thisTrialN,trials_character_original.thisN,trials_character_original.thisIndex,trials_character_original.ran,original_character_options,correct_character_options,id,date,expName,psychopyVersion,OS,frameRate,fbclid,edited_character_resp.keys,edited_character_resp.corr,edited_character_resp.rt,trials_character_edited.thisRepN,trials_character_edited.thisTrialN,trials_character_edited.thisN,trials_character_edited.thisIndex,trials_character_edited.ran,edited_character_options,seed_response.keys,seed_response.corr,seed_response.rt,trials_seeds.thisRepN,trials_seeds.thisTrialN,trials_seeds.thisN,trials_seeds.thisIndex,trials_seeds.ran,seed_options,correctSeednumber,tree_response.keys,tree_response.corr,tree_response.rt,trials_tree.thisRepN,trials_tree.thisTrialN,trials_tree.thisN,trials_tree.thisIndex,trials_tree.ran,tree_options,correctTreenumber,token_original_resp.keys,token_original_resp.corr,trials_tokens_original.thisRepN,trials_tokens_original.thisTrialN,trials_tokens_original.thisN,trials_tokens_original.thisIndex,trials_tokens_original.ran,original_token_options,correct_token_options,token_edited_resp.keys,token_edited_resp.corr,token_edited_resp.rt,trials_tokens_edited.thisRepN,trials_tokens_edited.thisTrialN,trials_tokens_edited.thisN,trials_tokens_edited.thisIndex,trials_tokens_edited.ran,edited_token_options,gaze_response.keys,gaze_response.corr,gaze_response.rt,key_resp_6.keys,trials_gaze.thisRepN,trials_gaze.thisTrialN,trials_gaze.thisN,trials_gaze.thisIndex,trials_gaze.ran,options,correctGazeanswer,landscapeA_resp.keys,landscapeA_resp.corr,trials_sight_color.thisRepN,trials_sight_color.thisTrialN,trials_sight_color.thisN,trials_sight_color.thisIndex,trials_sight_color.ran,landscape_options,correct_landscape_options,landscapeB_resp.keys,landscapeB_resp.corr,landscapeB_resp.rt,trials_sight_black.thisRepN,trials_sight_black.thisTrialN,trials_sight_black.thisN,trials_sight_black.thisIndex,trials_sight_black.ran
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,n,1,3.333,0,1,1,8,1,edited_tokens_greens_n.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,k,1,2.868,0,2,2,0,1,edited_tokens_blues_k.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,d,1,2.239,0,3,3,2,1,edited_tokens_blues_d.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,o,1,4.702,0,4,4,4,1,edited_tokens_blues_o.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,a,1,2.951,0,5,5,6,1,edited_tokens_greens_a.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,b,1,2.524,0,6,6,3,1,edited_tokens_blues_b.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,e,1,3.685,0,7,7,7,1,edited_tokens_greens_e.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,m,1,2.253,0,8,8,1,1,edited_tokens_blues_m.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,h,1,2.5,0,9,9,5,1,edited_tokens_greens_h.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1,5.263,,0,0,0,13,1,gaze7_plain.png,right,,,,,,,,,,,,,,,,,
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1,2.864,,0,1,1,5,1,gaze3_plain.png,right,,,,,,,,,,,,,,,,,
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,up,1,1.836,,0,2,2,9,1,gaze5_plain.png,up,,,,,,,,,,,,,,,,,
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,up,1,3.305,,0,3,3,8,1,gaze5_cue.png,up,,,,,,,,,,,,,,,,,
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1,1.14,,0,4,4,11,1,gaze6_plain.png,right,,,,,,,,,,,,,,,,,
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1,2.336,,0,5,5,12,1,gaze7_cue.png,right,,,,,,,,,,,,,,,,,
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1,2.982,,0,6,6,3,1,gaze2_plain.png,left,,,,,,,,,,,,,,,,,
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1,1.995,,0,7,7,7,1,gaze4_plain.png,left,,,,,,,,,,,,,,,,,
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1,1.008,,0,8,8,10,1,gaze6_cue.png,right,,,,,,,,,,,,,,,,,
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1,1.155,,0,9,9,2,1,gaze2_cue.png,left,,,,,,,,,,,,,,,,,
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1,0.936,,0,10,10,0,1,gaze1_cue.png,left,,,,,,,,,,,,,,,,,
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1,1.08,,0,11,11,4,1,gaze3_cue.png,right,,,,,,,,,,,,,,,,,
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1,0.802,,0,12,12,1,1,gaze1_plain.png,left,,,,,,,,,,,,,,,,,
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1,1.292,,0,13,13,6,1,gaze4_cue.png,left,,,,,,,,,,,,,,,,,
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2,1,landscape_color_c.png,c,,,,,,,,
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,5,1,landscape_color_f.png,f,,,,,,,,
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,2,4,1,landscape_color_e.png,e,,,,,,,,
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3,3,0,1,landscape_color_a.png,a,,,,,,,,
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4,4,3,1,landscape_color_d.png,d,,,,,,,,
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,5,1,1,landscape_color_b.png,b,,,,,,,,
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,landscape_black_d.png,d,d,1,6.036,0,0,0,3,1
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,landscape_black_a.png,a,a,1,6.564,0,1,1,0,1
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,landscape_black_f.png,f,f,1,3.369,0,2,2,5,1
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,landscape_black_e.png,e,e,1,3.866,0,3,3,4,1
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,landscape_black_c.png,c,c,1,5.187,0,4,4,2,1
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,landscape_black_b.png,b,b,1,5.177,0,5,5,1,1
