original_character_resp.keys,trials_character_original.thisRepN,trials_character_original.thisTrialN,trials_character_original.thisN,trials_character_original.thisIndex,trials_character_original.ran,original_character_options,correct_character_options,id,date,expName,psychopyVersion,OS,frameRate,edited_character_resp.keys,edited_character_resp.corr,edited_character_resp.rt,trials_character_edited.thisRepN,trials_character_edited.thisTrialN,trials_character_edited.thisN,trials_character_edited.thisIndex,trials_character_edited.ran,edited_character_options,seed_response.keys,seed_response.corr,seed_response.rt,trials_seeds.thisRepN,trials_seeds.thisTrialN,trials_seeds.thisN,trials_seeds.thisIndex,trials_seeds.ran,seed_options,correctSeednumber,tree_response.keys,tree_response.corr,tree_response.rt,trials_tree.thisRepN,trials_tree.thisTrialN,trials_tree.thisN,trials_tree.thisIndex,trials_tree.ran,tree_options,correctTreenumber,token_original_resp.keys,token_original_resp.corr,trials_tokens_original.thisRepN,trials_tokens_original.thisTrialN,trials_tokens_original.thisN,trials_tokens_original.thisIndex,trials_tokens_original.ran,original_token_options,correct_token_options,token_edited_resp.keys,token_edited_resp.corr,token_edited_resp.rt,trials_tokens_edited.thisRepN,trials_tokens_edited.thisTrialN,trials_tokens_edited.thisN,trials_tokens_edited.thisIndex,trials_tokens_edited.ran,edited_token_options,gaze_response.keys,gaze_response.corr,gaze_response.rt,key_resp_6.keys,trials_gaze.thisRepN,trials_gaze.thisTrialN,trials_gaze.thisN,trials_gaze.thisIndex,trials_gaze.ran,options,correctGazeanswer,landscapeA_resp.keys,landscapeA_resp.corr,trials_sight_color.thisRepN,trials_sight_color.thisTrialN,trials_sight_color.thisN,trials_sight_color.thisIndex,trials_sight_color.ran,landscape_options,correct_landscape_options,landscapeB_resp.keys,landscapeB_resp.corr,landscapeB_resp.rt,trials_sight_black.thisRepN,trials_sight_black.thisTrialN,trials_sight_black.thisN,trials_sight_black.thisIndex,trials_sight_black.ran
,0,0,0,3,1,original_architect.png,d,lolhest123,2024-04-03_21h16.57.914,board game,2021.1.2,Win32,74.07407407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,1,1,1,original_hermit.png,b,lolhest123,2024-04-03_21h16.57.914,board game,2021.1.2,Win32,74.07407407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,2,2,0,1,original_monk.png,a,lolhest123,2024-04-03_21h16.57.914,board game,2021.1.2,Win32,74.07407407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,3,3,2,1,original_poet.png,c,lolhest123,2024-04-03_21h16.57.914,board game,2021.1.2,Win32,74.07407407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,d,lolhest123,2024-04-03_21h16.57.914,board game,2021.1.2,Win32,74.07407407,d,1,4.9662,0,0,0,3,1,edited_architect.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,b,lolhest123,2024-04-03_21h16.57.914,board game,2021.1.2,Win32,74.07407407,b,1,1.8027,0,1,1,1,1,edited_hermit.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,c,lolhest123,2024-04-03_21h16.57.914,board game,2021.1.2,Win32,74.07407407,c,1,3.7987,0,2,2,2,1,edited_poet.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,a,lolhest123,2024-04-03_21h16.57.914,board game,2021.1.2,Win32,74.07407407,c,0,1.0722,0,3,3,0,1,edited_monk.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,lolhest123,2024-04-03_21h16.57.914,board game,2021.1.2,Win32,74.07407407,,,,,,,,,,3,1,4.2519,0,0,0,14,1,gul_3_grey.png,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,lolhest123,2024-04-03_21h16.57.914,board game,2021.1.2,Win32,74.07407407,,,,,,,,,,2,1,1.8414,0,1,1,12,1,gul_2_grey.png,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,lolhest123,2024-04-03_21h16.57.914,board game,2021.1.2,Win32,74.07407407,,,,,,,,,,0,1,2.4791,0,2,2,8,1,gul_0_grey.png,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,lolhest123,2024-04-03_21h16.57.914,board game,2021.1.2,Win32,74.07407407,,,,,,,,,,1,1,1.0637,0,3,3,3,1,orange_1_original.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,lolhest123,2024-04-03_21h16.57.914,board game,2021.1.2,Win32,74.07407407,,,,,,,,,,1,1,0.9627,0,4,4,10,1,gul_1_grey.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,lolhest123,2024-04-03_21h16.57.914,board game,2021.1.2,Win32,74.07407407,,,,,,,,,,2,1,0.9741,0,5,5,5,1,orange_2_original.png,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,lolhest123,2024-04-03_21h16.57.914,board game,2021.1.2,Win32,74.07407407,,,,,,,,,,2,1,1.8644,0,6,6,13,1,gul_2_original.png,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,lolhest123,2024-04-03_21h16.57.914,board game,2021.1.2,Win32,74.07407407,,,,,,,,,,3,1,1.0283,0,7,7,15,1,gul_3_original.png,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,lolhest123,2024-04-03_21h16.57.914,board game,2021.1.2,Win32,74.07407407,,,,,,,,,,0,1,2.8695,0,8,8,0,1,orange_0_grey.png,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,lolhest123,2024-04-03_21h16.57.914,board game,2021.1.2,Win32,74.07407407,,,,,,,,,,0,1,1.471,0,9,9,1,1,orange_0_original.png,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,lolhest123,2024-04-03_21h16.57.914,board game,2021.1.2,Win32,74.07407407,,,,,,,,,,3,1,1.1352,0,10,10,7,1,orange_3_original.png,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,lolhest123,2024-04-03_21h16.57.914,board game,2021.1.2,Win32,74.07407407,,,,,,,,,,3,1,0.7083,0,11,11,6,1,orange_3_grey.png,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,lolhest123,2024-04-03_21h16.57.914,board game,2021.1.2,Win32,74.07407407,,,,,,,,,,0,1,1.6313,0,12,12,9,1,gul_0_original.png,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,lolhest123,2024-04-03_21h16.57.914,board game,2021.1.2,Win32,74.07407407,,,,,,,,,,2,1,1.2433,0,13,13,4,1,orange_2_grey.png,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,lolhest123,2024-04-03_21h16.57.914,board game,2021.1.2,Win32,74.07407407,,,,,,,,,,1,1,0.9456,0,14,14,11,1,gul_1_original.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,lolhest123,2024-04-03_21h16.57.914,board game,2021.1.2,Win32,74.07407407,,,,,,,,,,1,1,0.9041,0,15,15,2,1,orange_1_grey.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,lolhest123,2024-04-03_21h16.57.914,board game,2021.1.2,Win32,74.07407407,,,,,,,,,,,,,,,,,,,,1,1,9.863,0,0,0,13,1,original_orange2.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
