original_character_resp.keys,trials_character_original.thisRepN,trials_character_original.thisTrialN,trials_character_original.thisN,trials_character_original.thisIndex,trials_character_original.ran,original_character_options,correct_character_options,id,date,expName,psychopyVersion,OS,frameRate,edited_character_resp.keys,edited_character_resp.corr,edited_character_resp.rt,trials_character_edited.thisRepN,trials_character_edited.thisTrialN,trials_character_edited.thisN,trials_character_edited.thisIndex,trials_character_edited.ran,edited_character_options,seed_response.keys,seed_response.corr,seed_response.rt,trials_seeds.thisRepN,trials_seeds.thisTrialN,trials_seeds.thisN,trials_seeds.thisIndex,trials_seeds.ran,seed_options,correctSeednumber,tree_response.keys,tree_response.corr,tree_response.rt,trials_tree.thisRepN,trials_tree.thisTrialN,trials_tree.thisN,trials_tree.thisIndex,trials_tree.ran,tree_options,correctTreenumber,token_original_resp.keys,token_original_resp.corr,trials_tokens_original.thisRepN,trials_tokens_original.thisTrialN,trials_tokens_original.thisN,trials_tokens_original.thisIndex,trials_tokens_original.ran,original_token_options,correct_token_options,token_edited_resp.keys,token_edited_resp.corr,token_edited_resp.rt,trials_tokens_edited.thisRepN,trials_tokens_edited.thisTrialN,trials_tokens_edited.thisN,trials_tokens_edited.thisIndex,trials_tokens_edited.ran,edited_token_options,gaze_response.keys,gaze_response.corr,gaze_response.rt,key_resp_6.keys,trials_gaze.thisRepN,trials_gaze.thisTrialN,trials_gaze.thisN,trials_gaze.thisIndex,trials_gaze.ran,options,correctGazeanswer,landscapeA_resp.keys,landscapeA_resp.corr,trials_sight_color.thisRepN,trials_sight_color.thisTrialN,trials_sight_color.thisN,trials_sight_color.thisIndex,trials_sight_color.ran,landscape_options,correct_landscape_options,landscapeB_resp.keys,landscapeB_resp.corr,landscapeB_resp.rt,trials_sight_black.thisRepN,trials_sight_black.thisTrialN,trials_sight_black.thisN,trials_sight_black.thisIndex,trials_sight_black.ran
,0,0,0,2,1,original_poet.png,c,erew326adw,2024-03-15_15h47.15.911,board game,2021.1.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,1,1,1,original_hermit.png,b,erew326adw,2024-03-15_15h47.15.911,board game,2021.1.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,2,2,0,1,original_monk.png,a,erew326adw,2024-03-15_15h47.15.911,board game,2021.1.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,3,3,3,1,original_architect.png,d,erew326adw,2024-03-15_15h47.15.911,board game,2021.1.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,c,erew326adw,2024-03-15_15h47.15.911,board game,2021.1.2,Win32,60.0240096,c,1,6.997,0,0,0,2,1,edited_poet.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,a,erew326adw,2024-03-15_15h47.15.911,board game,2021.1.2,Win32,60.0240096,a,1,1.405,0,1,1,0,1,edited_monk.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,b,erew326adw,2024-03-15_15h47.15.911,board game,2021.1.2,Win32,60.0240096,b,1,2.516,0,2,2,1,1,edited_hermit.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,d,erew326adw,2024-03-15_15h47.15.911,board game,2021.1.2,Win32,60.0240096,d,1,2.021,0,3,3,3,1,edited_architect.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,erew326adw,2024-03-15_15h47.15.911,board game,2021.1.2,Win32,60.0240096,,,,,,,,,,1,1,3.96,0,0,0,2,1,orange_1_grey.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,erew326adw,2024-03-15_15h47.15.911,board game,2021.1.2,Win32,60.0240096,,,,,,,,,,4,0,4.03,0,1,1,1,1,orange_0_original.png,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,erew326adw,2024-03-15_15h47.15.911,board game,2021.1.2,Win32,60.0240096,,,,,,,,,,2,1,1.75,0,2,2,5,1,orange_2_original.png,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,erew326adw,2024-03-15_15h47.15.911,board game,2021.1.2,Win32,60.0240096,,,,,,,,,,2,1,1.235,0,3,3,12,1,gul_2_grey.png,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,erew326adw,2024-03-15_15h47.15.911,board game,2021.1.2,Win32,60.0240096,,,,,,,,,,1,1,2.554,0,4,4,11,1,gul_1_original.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,erew326adw,2024-03-15_15h47.15.911,board game,2021.1.2,Win32,60.0240096,,,,,,,,,,1,1,1.187,0,5,5,3,1,orange_1_original.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,erew326adw,2024-03-15_15h47.15.911,board game,2021.1.2,Win32,60.0240096,,,,,,,,,,0,1,1.918,0,6,6,0,1,orange_0_grey.png,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,erew326adw,2024-03-15_15h47.15.911,board game,2021.1.2,Win32,60.0240096,,,,,,,,,,3,1,1.266,0,7,7,14,1,gul_3_grey.png,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,erew326adw,2024-03-15_15h47.15.911,board game,2021.1.2,Win32,60.0240096,,,,,,,,,,3,1,1.72,0,8,8,6,1,orange_3_grey.png,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,erew326adw,2024-03-15_15h47.15.911,board game,2021.1.2,Win32,60.0240096,,,,,,,,,,1,1,0.884,0,9,9,10,1,gul_1_grey.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,erew326adw,2024-03-15_15h47.15.911,board game,2021.1.2,Win32,60.0240096,,,,,,,,,,2,1,1.037,0,10,10,4,1,orange_2_grey.png,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,erew326adw,2024-03-15_15h47.15.911,board game,2021.1.2,Win32,60.0240096,,,,,,,,,,3,1,1.72,0,11,11,15,1,gul_3_original.png,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,erew326adw,2024-03-15_15h47.15.911,board game,2021.1.2,Win32,60.0240096,,,,,,,,,,2,1,0.988,0,12,12,13,1,gul_2_original.png,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,erew326adw,2024-03-15_15h47.15.911,board game,2021.1.2,Win32,60.0240096,,,,,,,,,,0,1,1.089,0,13,13,8,1,gul_0_grey.png,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,erew326adw,2024-03-15_15h47.15.911,board game,2021.1.2,Win32,60.0240096,,,,,,,,,,3,1,2.048,0,14,14,7,1,orange_3_original.png,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,erew326adw,2024-03-15_15h47.15.911,board game,2021.1.2,Win32,60.0240096,,,,,,,,,,0,1,3.14,0,15,15,9,1,gul_0_original.png,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,erew326adw,2024-03-15_15h47.15.911,board game,2021.1.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,3,1,4.143,0,0,0,2,1,edited_gulpink1.png,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,erew326adw,2024-03-15_15h47.15.911,board game,2021.1.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,2,1,4.065,0,1,1,9,1,original_green2.png,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,erew326adw,2024-03-15_15h47.15.911,board game,2021.1.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,3,1,3.29,0,2,2,12,1,original_orange1.png,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,erew326adw,2024-03-15_15h47.15.911,board game,2021.1.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,4,1,3.038,0,3,3,7,1,edited_blue2.png,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,erew326adw,2024-03-15_15h47.15.911,board game,2021.1.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,4,1,3.023,0,4,4,3,1,edited_gulpink2.png,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,erew326adw,2024-03-15_15h47.15.911,board game,2021.1.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,1,1,2.386,0,5,5,13,1,original_orange2.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,erew326adw,2024-03-15_15h47.15.911,board game,2021.1.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,3,1,3.153,0,6,6,14,1,edited_orange1.png,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,erew326adw,2024-03-15_15h47.15.911,board game,2021.1.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,3,0,2.562,0,7,7,11,1,edited_green2.png,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,erew326adw,2024-03-15_15h47.15.911,board game,2021.1.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,2,1,2.558,0,8,8,4,1,original_blue1.png,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,erew326adw,2024-03-15_15h47.15.911,board game,2021.1.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,3,1,3.766,0,9,9,0,1,original_gulpink1.png,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,erew326adw,2024-03-15_15h47.15.911,board game,2021.1.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,3,0,0.056,0,10,10,15,1,edited_orange2.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
