"id","age","colorblind","correctGazeanswer","diff_remember","diff_understand","freq_game","gender","played_tang","options","gaze_response.corr","gaze_response.keys","RT","trials_gaze.thisN","manipulation","stimulus_type"
"579998",26,"No","right","Disagree","Agree","Every 3rd month","Male","No","gaze3_cue.png","0","down",1.2778,7,"edited","gaze3"
"579998",26,"No","right","Disagree","Agree","Every 3rd month","Male","No","gaze7_plain.png","1","right",1.6405,8,"original","gaze7"
"579998",26,"No","right","Disagree","Agree","Every 3rd month","Male","No","gaze6_cue.png","1","right",0.721,9,"edited","gaze6"
"579998",26,"No","left","Disagree","Agree","Every 3rd month","Male","No","gaze1_cue.png","1","left",0.9964,10,"edited","gaze1"
"579998",26,"No","left","Disagree","Agree","Every 3rd month","Male","No","gaze4_plain.png","1","left",1.3506,11,"original","gaze4"
"579998",26,"No","right","Disagree","Agree","Every 3rd month","Male","No","gaze3_plain.png","0","down",3.4758,12,"original","gaze3"
"579998",26,"No","left","Disagree","Agree","Every 3rd month","Male","No","gaze4_cue.png","1","left",0.9028,13,"edited","gaze4"
"579998",26,"No","up","Disagree","Agree","Every 3rd month","Male","No","gaze5_cue.png","1","up",1.5827,0,"edited","gaze5"
"579998",26,"No","up","Disagree","Agree","Every 3rd month","Male","No","gaze5_plain.png","1","up",1.4624,1,"original","gaze5"
"579998",26,"No","left","Disagree","Agree","Every 3rd month","Male","No","gaze1_plain.png","1","left",1.172,2,"original","gaze1"
"abcabc",25,"No","right","Disagree","Disagree","Semi-annually","Male","No","gaze6_plain.png","1","right",1.685,0,"original","gaze6"
"abcabc",25,"No","left","Disagree","Disagree","Semi-annually","Male","No","gaze4_cue.png","1","left",1.102,1,"edited","gaze4"
"abcabc",25,"No","right","Disagree","Disagree","Semi-annually","Male","No","gaze7_cue.png","1","right",9.13,2,"edited","gaze7"
"abcabc",25,"No","right","Disagree","Disagree","Semi-annually","Male","No","gaze3_plain.png","1","right",3.414,3,"original","gaze3"
"abcabc",25,"No","left","Disagree","Disagree","Semi-annually","Male","No","gaze2_cue.png","1","left",1.411,4,"edited","gaze2"
"abcabc",25,"No","left","Disagree","Disagree","Semi-annually","Male","No","gaze2_plain.png","1","left",1.795,5,"original","gaze2"
"abcabc",25,"No","right","Disagree","Disagree","Semi-annually","Male","No","gaze6_cue.png","1","right",1.001,6,"edited","gaze6"
"abcabc",25,"No","left","Disagree","Disagree","Semi-annually","Male","No","gaze1_plain.png","1","left",1.121,7,"original","gaze1"
"abcabc",25,"No","up","Disagree","Disagree","Semi-annually","Male","No","gaze5_cue.png","1","up",0.89,8,"edited","gaze5"
"abcabc",25,"No","left","Disagree","Disagree","Semi-annually","Male","No","gaze4_plain.png","1","left",1.298,9,"original","gaze4"
"abcabc",25,"No","right","Disagree","Disagree","Semi-annually","Male","No","gaze7_plain.png","1","right",1.904,10,"original","gaze7"
"abcabc",25,"No","right","Disagree","Disagree","Semi-annually","Male","No","gaze3_cue.png","1","right",1.182,11,"edited","gaze3"
"abcabc",25,"No","up","Disagree","Disagree","Semi-annually","Male","No","gaze5_plain.png","1","up",0.953,12,"original","gaze5"
"abcabc",25,"No","left","Disagree","Disagree","Semi-annually","Male","No","gaze1_cue.png","1","left",1.144,13,"edited","gaze1"
"au691988",28,"No","up","Disagree","Agree","Every 3rd month","Male","No","gaze5_cue.png","1","up",2.618,0,"edited","gaze5"
"au691988",28,"No","right","Disagree","Agree","Every 3rd month","Male","No","gaze7_plain.png","1","right",1.0756,1,"original","gaze7"
"au691988",28,"No","right","Disagree","Agree","Every 3rd month","Male","No","gaze3_plain.png","1","right",1.1592,2,"original","gaze3"
"au691988",28,"No","up","Disagree","Agree","Every 3rd month","Male","No","gaze5_plain.png","1","up",1.0728,3,"original","gaze5"
"au691988",28,"No","left","Disagree","Agree","Every 3rd month","Male","No","gaze2_plain.png","1","left",0.8996,4,"original","gaze2"
"au691988",28,"No","left","Disagree","Agree","Every 3rd month","Male","No","gaze1_cue.png","1","left",1.4859,5,"edited","gaze1"
"au691988",28,"No","right","Disagree","Agree","Every 3rd month","Male","No","gaze3_cue.png","1","right",0.9543,6,"edited","gaze3"
"au691988",28,"No","left","Disagree","Agree","Every 3rd month","Male","No","gaze1_plain.png","1","left",0.7468,7,"original","gaze1"
"au691988",28,"No","left","Disagree","Agree","Every 3rd month","Male","No","gaze2_cue.png","1","left",1.2995,8,"edited","gaze2"
"au691988",28,"No","left","Disagree","Agree","Every 3rd month","Male","No","gaze4_plain.png","1","left",1.2866,9,"original","gaze4"
"au691988",28,"No","right","Disagree","Agree","Every 3rd month","Male","No","gaze6_plain.png","1","right",2.2677,10,"original","gaze6"
"au691988",28,"No","right","Disagree","Agree","Every 3rd month","Male","No","gaze7_cue.png","1","right",1.2161,11,"edited","gaze7"
"au691988",28,"No","left","Disagree","Agree","Every 3rd month","Male","No","gaze4_cue.png","1","left",0.7015,12,"edited","gaze4"
"au691988",28,"No","right","Disagree","Agree","Every 3rd month","Male","No","gaze6_cue.png","1","right",0.8008,13,"edited","gaze6"
"Ben24jada",56,"No","left","Neither nor","Disagree","Monthly","Female","No","gaze1_plain.png","1","left",6.2862,0,"original","gaze1"
"Ben24jada",56,"No","right","Neither nor","Disagree","Monthly","Female","No","gaze6_plain.png","1","right",0.9913,1,"original","gaze6"
"Ben24jada",56,"No","left","Neither nor","Disagree","Monthly","Female","No","gaze2_plain.png","1","left",2.6858,2,"original","gaze2"
"Ben24jada",56,"No","right","Neither nor","Disagree","Monthly","Female","No","gaze3_plain.png","0","down",4.5013,3,"original","gaze3"
"Ben24jada",56,"No","left","Neither nor","Disagree","Monthly","Female","No","gaze1_cue.png","1","left",0.9787,4,"edited","gaze1"
"Ben24jada",56,"No","up","Neither nor","Disagree","Monthly","Female","No","gaze5_cue.png","1","up",12.9965,5,"edited","gaze5"
"Ben24jada",56,"No","right","Neither nor","Disagree","Monthly","Female","No","gaze6_cue.png","1","right",0.9561,6,"edited","gaze6"
"Ben24jada",56,"No","left","Neither nor","Disagree","Monthly","Female","No","gaze2_cue.png","1","left",0.7547,7,"edited","gaze2"
"Ben24jada",56,"No","right","Neither nor","Disagree","Monthly","Female","No","gaze7_cue.png","1","right",0.6751,8,"edited","gaze7"
"Ben24jada",56,"No","up","Neither nor","Disagree","Monthly","Female","No","gaze5_plain.png","1","up",3.3931,9,"original","gaze5"
"Ben24jada",56,"No","right","Neither nor","Disagree","Monthly","Female","No","gaze7_plain.png","1","right",2.5265,10,"original","gaze7"
"Ben24jada",56,"No","right","Neither nor","Disagree","Monthly","Female","No","gaze3_cue.png","1","right",13.4281,11,"edited","gaze3"
"Ben24jada",56,"No","left","Neither nor","Disagree","Monthly","Female","No","gaze4_cue.png","1","left",2.0387,13,"edited","gaze4"
"Ben24jada",56,"No","left","Neither nor","Disagree","Monthly","Female","No","gaze4_plain.png","1","left",5.756,12,"original","gaze4"
"DBF47",24,"No","right","Disagree","Disagree","Every 3rd month","Male","No","gaze3_cue.png","1","right",1.1513,0,"edited","gaze3"
"DBF47",24,"No","right","Disagree","Disagree","Every 3rd month","Male","No","gaze7_plain.png","1","right",1.4704,1,"original","gaze7"
"DBF47",24,"No","right","Disagree","Disagree","Every 3rd month","Male","No","gaze7_cue.png","1","right",2.8017,2,"edited","gaze7"
"DBF47",24,"No","left","Disagree","Disagree","Every 3rd month","Male","No","gaze4_cue.png","1","left",1.2682,3,"edited","gaze4"
"DBF47",24,"No","up","Disagree","Disagree","Every 3rd month","Male","No","gaze5_cue.png","1","up",0.8486,4,"edited","gaze5"
"DBF47",24,"No","left","Disagree","Disagree","Every 3rd month","Male","No","gaze1_cue.png","0","down",0.84,5,"edited","gaze1"
"DBF47",24,"No","left","Disagree","Disagree","Every 3rd month","Male","No","gaze1_plain.png","1","left",2.1171,6,"original","gaze1"
"DBF47",24,"No","right","Disagree","Disagree","Every 3rd month","Male","No","gaze6_cue.png","1","right",0.9252,7,"edited","gaze6"
"DBF47",24,"No","right","Disagree","Disagree","Every 3rd month","Male","No","gaze3_plain.png","1","right",1.08,8,"original","gaze3"
"DBF47",24,"No","left","Disagree","Disagree","Every 3rd month","Male","No","gaze2_cue.png","1","left",1.5689,9,"edited","gaze2"
"DBF47",24,"No","up","Disagree","Disagree","Every 3rd month","Male","No","gaze5_plain.png","1","up",0.9204,10,"original","gaze5"
"DBF47",24,"No","left","Disagree","Disagree","Every 3rd month","Male","No","gaze2_plain.png","1","left",1.4824,11,"original","gaze2"
"DBF47",24,"No","left","Disagree","Disagree","Every 3rd month","Male","No","gaze4_plain.png","1","left",0.9834,12,"original","gaze4"
"DBF47",24,"No","right","Disagree","Disagree","Every 3rd month","Male","No","gaze6_plain.png","1","right",0.6989,13,"original","gaze6"
"eae24",24,"No","left","Agree","Agree","Monthly","Female","No","gaze1_cue.png","1","left",1.1293,1,"edited","gaze1"
"eae24",24,"No","right","Agree","Agree","Monthly","Female","No","gaze6_plain.png","1","right",0.9373,2,"original","gaze6"
"eae24",24,"No","left","Agree","Agree","Monthly","Female","No","gaze2_plain.png","0","down",1.0325,3,"original","gaze2"
"eae24",24,"No","left","Agree","Agree","Monthly","Female","No","gaze1_plain.png","1","left",0.9964,4,"original","gaze1"
"eae24",24,"No","left","Agree","Agree","Monthly","Female","No","gaze4_plain.png","0","right",1.3282,5,"original","gaze4"
"eae24",24,"No","left","Agree","Agree","Monthly","Female","No","gaze2_cue.png","0","down",1.6015,6,"edited","gaze2"
"eae24",24,"No","up","Agree","Agree","Monthly","Female","No","gaze5_plain.png","0","right",1.4003,7,"original","gaze5"
"eae24",24,"No","right","Agree","Agree","Monthly","Female","No","gaze3_plain.png","0","down",2.3196,8,"original","gaze3"
"eae24",24,"No","right","Agree","Agree","Monthly","Female","No","gaze7_cue.png","1","right",0.8648,9,"edited","gaze7"
"eae24",24,"No","up","Agree","Agree","Monthly","Female","No","gaze5_cue.png","0","right",1.0895,10,"edited","gaze5"
"eae24",24,"No","right","Agree","Agree","Monthly","Female","No","gaze6_cue.png","1","right",0.9133,11,"edited","gaze6"
"eae24",24,"No","right","Agree","Agree","Monthly","Female","No","gaze3_cue.png","0","down",1.2308,12,"edited","gaze3"
"eae24",24,"No","left","Agree","Agree","Monthly","Female","No","gaze4_cue.png","0","up",1.634,13,"edited","gaze4"
"eae24",24,"No","right","Agree","Agree","Monthly","Female","No","gaze7_plain.png","1","right",3.2428,0,"original","gaze7"
"erew326adw",26,"No","up","Neither nor","Disagree","Monthly","Female","No","gaze5_cue.png","1","up",2.244,0,"edited","gaze5"
"erew326adw",26,"No","left","Neither nor","Disagree","Monthly","Female","No","gaze2_plain.png","1","left",1.409,1,"original","gaze2"
"erew326adw",26,"No","right","Neither nor","Disagree","Monthly","Female","No","gaze3_cue.png","1","right",1.759,2,"edited","gaze3"
"erew326adw",26,"No","right","Neither nor","Disagree","Monthly","Female","No","gaze6_cue.png","1","right",0.874,6,"edited","gaze6"
"erew326adw",26,"No","left","Neither nor","Disagree","Monthly","Female","No","gaze4_cue.png","1","left",2.041,7,"edited","gaze4"
"erew326adw",26,"No","left","Neither nor","Disagree","Monthly","Female","No","gaze1_cue.png","1","left",0.997,8,"edited","gaze1"
"erew326adw",26,"No","right","Neither nor","Disagree","Monthly","Female","No","gaze7_cue.png","1","right",1.604,9,"edited","gaze7"
"erew326adw",26,"No","left","Neither nor","Disagree","Monthly","Female","No","gaze2_cue.png","1","left",2.243,11,"edited","gaze2"
"erew326adw",26,"No","left","Neither nor","Disagree","Monthly","Female","No","gaze4_plain.png","1","left",1.087,12,"original","gaze4"
"erew326adw",26,"No","right","Neither nor","Disagree","Monthly","Female","No","gaze6_plain.png","1","right",0.972,13,"original","gaze6"
"erew326adw",26,"No","right","Neither nor","Disagree","Monthly","Female","No","gaze3_plain.png","1","right",1.819,3,"original","gaze3"
"erew326adw",26,"No","left","Neither nor","Disagree","Monthly","Female","No","gaze1_plain.png","1","left",1.093,4,"original","gaze1"
"erew326adw",26,"No","up","Neither nor","Disagree","Monthly","Female","No","gaze5_plain.png","1","up",1.295,5,"original","gaze5"
"erew326adw",26,"No","right","Neither nor","Disagree","Monthly","Female","No","gaze7_plain.png","1","right",1.433,10,"original","gaze7"
"gyiu98",22,"No","up","Disagree","Disagree","Monthly","Female","No","gaze5_plain.png","1","up",1.409,7,"original","gaze5"
"gyiu98",22,"No","right","Disagree","Disagree","Monthly","Female","No","gaze3_plain.png","1","right",1.9,8,"original","gaze3"
"gyiu98",22,"No","left","Disagree","Disagree","Monthly","Female","No","gaze2_cue.png","1","left",1.237,9,"edited","gaze2"
"gyiu98",22,"No","right","Disagree","Disagree","Monthly","Female","No","gaze6_cue.png","1","right",1.172,10,"edited","gaze6"
"gyiu98",22,"No","right","Disagree","Disagree","Monthly","Female","No","gaze3_cue.png","1","right",4.117,0,"edited","gaze3"
"gyiu98",22,"No","left","Disagree","Disagree","Monthly","Female","No","gaze1_plain.png","1","left",1.166,1,"original","gaze1"
"gyiu98",22,"No","left","Disagree","Disagree","Monthly","Female","No","gaze2_plain.png","1","left",3.127,2,"original","gaze2"
"gyiu98",22,"No","right","Disagree","Disagree","Monthly","Female","No","gaze6_plain.png","1","right",0.841,3,"original","gaze6"
"gyiu98",22,"No","left","Disagree","Disagree","Monthly","Female","No","gaze4_plain.png","1","left",1.619,4,"original","gaze4"
"gyiu98",22,"No","up","Disagree","Disagree","Monthly","Female","No","gaze5_cue.png","1","up",1.107,5,"edited","gaze5"
"gyiu98",22,"No","left","Disagree","Disagree","Monthly","Female","No","gaze4_cue.png","1","left",1.61,6,"edited","gaze4"
"gyiu98",22,"No","left","Disagree","Disagree","Monthly","Female","No","gaze1_cue.png","1","left",1.325,11,"edited","gaze1"
"gyiu98",22,"No","right","Disagree","Disagree","Monthly","Female","No","gaze7_cue.png","1","right",0.888,12,"edited","gaze7"
"gyiu98",22,"No","right","Disagree","Disagree","Monthly","Female","No","gaze7_plain.png","0","up",2.005,13,"original","gaze7"
"haps123",24,"No","up","Neither nor","Strongly agree","Monthly","Female","No","gaze5_cue.png","1","up",3.798,0,"edited","gaze5"
"haps123",24,"No","left","Neither nor","Strongly agree","Monthly","Female","No","gaze4_plain.png","1","left",1.851,1,"original","gaze4"
"haps123",24,"No","left","Neither nor","Strongly agree","Monthly","Female","No","gaze2_plain.png","1","left",1.279,2,"original","gaze2"
"haps123",24,"No","right","Neither nor","Strongly agree","Monthly","Female","No","gaze6_plain.png","1","right",1.038,3,"original","gaze6"
"haps123",24,"No","left","Neither nor","Strongly agree","Monthly","Female","No","gaze1_plain.png","1","left",1.199,4,"original","gaze1"
"haps123",24,"No","right","Neither nor","Strongly agree","Monthly","Female","No","gaze7_cue.png","1","right",1.112,5,"edited","gaze7"
"haps123",24,"No","right","Neither nor","Strongly agree","Monthly","Female","No","gaze3_cue.png","1","right",0.99,6,"edited","gaze3"
"haps123",24,"No","left","Neither nor","Strongly agree","Monthly","Female","No","gaze2_cue.png","1","left",1.204,7,"edited","gaze2"
"haps123",24,"No","right","Neither nor","Strongly agree","Monthly","Female","No","gaze3_plain.png","1","right",0.829,8,"original","gaze3"
"haps123",24,"No","left","Neither nor","Strongly agree","Monthly","Female","No","gaze1_cue.png","1","left",1.602,9,"edited","gaze1"
"haps123",24,"No","right","Neither nor","Strongly agree","Monthly","Female","No","gaze6_cue.png","1","right",1.757,10,"edited","gaze6"
"haps123",24,"No","right","Neither nor","Strongly agree","Monthly","Female","No","gaze7_plain.png","0","up",4.115,11,"original","gaze7"
